serial	token_full_name	token	description	price-usd	price_change_percentage	volume_24h_usd	circulating_market_cap_usd	onchain_market_cap_usd	holders
131	Baby Floki Billionaire (BabyFB)	BabyFB	"Baby Floki Billionaire is a meme coin on the BSC, inspired by the Floki Inu meme coins success. It rewards token holders with reflections."	0	0		28		100000
132	Crox Token (CROX)	CROX	A cross-chain Automated Market Making (AMM) decentralized exchange with a deflationary token model.	0.01	0.000001		24		57032
133	Crox Token (CROX)	CROX	A cross-chain Automated Market Making (AMM) decentralized exchange with a deflationary token model.	0.01	0.000001		24		57032
134	INME RUN (INMER)	INMER	"INME RUN, it is an app and game merged together in one app through which you can earn INME RUN tokens while running and playing."	0	0		23		71548
135	CBK (CBK)	CBK	CBK is deployed to tokenize milliseconds of exposure time in the blockchain docuseries “Crossing the Yellow Blocks”.	0.01	0.000001		14		116441
136	Spore Token (SPORE)	SPORE	Spore Engineering is a software factory focused on closing the gap between traditional fintech and industry 4.0.	0.56	0.000033		13		185571
137	Spore Token (SPORE)	SPORE	Spore Engineering is a software factory focused on closing the gap between traditional fintech and industry 4.0.	0.56	0.000033		13		185571
138	Ezcoin Market (ECM)	ECM	"Ezcoinmarket is a crypto tracking price website for the crypto asset, News Cryptocurrency, Signal Futures & Spot Trading, Airdrops, Game and Vote tokens"	0	0		12		24800
139	TOZEX (TOZ)	TOZ	"Tozex is a financing platform that combines a token issuance module “Tokenpad” allowing users to launch token-based crowdfunding campaigns (ICO, STO, and BRO) with an embedded crypto asset marketplace."	0.05	0.000003		5		84654
140	TOZEX (TOZ)	TOZ	"Tozex is a financing platform that combines a token issuance module “Tokenpad” allowing users to launch token-based crowdfunding campaigns (ICO, STO, and BRO) with an embedded crypto asset marketplace."	0.05	0.000003		5		84654
141	Virtual Meta (VMA)	VMA	"The VMA wallet/API not only features the ability for users to exchange VMA across any VR/AR experience, environment or world, but also the ability for users to launch their own branded token coins. VMA will seamlessly allow value transfer from the virtual world to the real world and back again."	0.03	0.000002		5		267099900
142	Virtual Meta (VMA)	VMA	"The VMA wallet/API not only features the ability for users to exchange VMA across any VR/AR experience, environment or world, but also the ability for users to launch their own branded token coins. VMA will seamlessly allow value transfer from the virtual world to the real world and back again."	0.03	0.000002		5		267099900
143	Mithrilverse (MITHRIL)	MITHRIL	"MITHRIL is a deflationary token on the Binance Smart Chain, fueled by memetic energy and an active community of MITHRIL-handed holders. The MITHRIL token yields reflections generated from a 4% tax on all transactions; 2% is sent to liquidity and 2% is distributed to holders."	0	0		5		356977
144	Lucky Unicorn Token (L99)	L99	"L99 token is a type of currency which is used for transactions in the ecosystem of NFT Game Lucky Unicorn – Metaverse. It offers a series of games in which players raise, collect, team up unicorns to do various quests, also they can challenge each other individually or as a guild."	0	0		5		75587
145	8BIT DOGE (BITD)	BITD	8Bit Doge is a Play-To-Earn GameFi Token & NFT Project living on the Binance Smart Chain with all NFT sales going back to the token holders.	0	0		4		112100
146	Recycling Token (CYC)	CYC	CYC is a blockchain-based platform for converting waste and recyclables into real-value CYC tokens. CYC Ecosystem connects people with companies and municipal services and makes it possible to encourage citizens to exercise care with waste utilization	0.01	0		3		7912870
147	Green Chart (GREEN)	GREEN	Empower people to become the smartest self-directed investors they can be by creating accessible investment platforms and services.	0	0		3		136000
148	Green Chart (GREEN)	GREEN	Empower people to become the smartest self-directed investors they can be by creating accessible investment platforms and services.	0	0		3		136000
149	Xpose (Xpose)	Xpose	XPOSE PROTOCOL wants to go to extreme measures in enlightening the world. We make epic memories and use xtreme marketing events to build an extraordinary community. XPOSE community members help in this journey to positively impact the world.	0	0		2		9230000
150	Safechaintoken (SCT)	SCT	Safechaintoken is a hyper-deflationary utility token for the Safechaintoken ecosystem.	0	0		1		85580
151	BUX Token (BUX)	BUX	The BUX Platform Token offers BUX as an utility token that can be used on the BUX Crypto platform to access premium features and promotions.	0.49	0.000029		0		37784063
152	BUX Token (BUX)	BUX	The BUX Platform Token offers BUX as an utility token that can be used on the BUX Crypto platform to access premium features and promotions.	0.49	0.000029		0		37784063
153	VANCI.FINANCE (VANCII)	VANCII	Vanci.Finance was developed to bestow its holders for their token loyalty by granting them extraordinary farming rewards. The tokenomics allows holders to be rewarded in both BNB and Vanci tokens for the duration of their holding timeframe.	0.3	0.000017		0		8996
154	VANCI.FINANCE (VANCII)	VANCII	Vanci.Finance was developed to bestow its holders for their token loyalty by granting them extraordinary farming rewards. The tokenomics allows holders to be rewarded in both BNB and Vanci tokens for the duration of their holding timeframe.	0.3	0.000017		0		8996
155	RobustSwap Token (RBS)	RBS	RobustSwap by the Robust Protocol team is a decentralized exchange (DEX) with yield farming and automated market maker (AMM) on the Binance Smart Chain designed to optimize profitability through scarcity and liquidity.	0.26	0.000015		0		27861
156	RobustSwap Token (RBS)	RBS	RobustSwap by the Robust Protocol team is a decentralized exchange (DEX) with yield farming and automated market maker (AMM) on the Binance Smart Chain designed to optimize profitability through scarcity and liquidity.	0.26	0.000015		0		27861
157	Keep3r BSC Network (KP3RB)	KP3RB	KP3RB token is a Keep3r fork project on Binance Smart Chain.	0.14	0.000008		0		184725128
158	Keep3r BSC Network (KP3RB)	KP3RB	KP3RB token is a Keep3r fork project on Binance Smart Chain.	0.14	0.000008		0		184725128
159	Weather (Weather)	Weather	Weather finance is a yield farming protocol on BSC.	0.1	0.000006		0		9142
160	Weather (Weather)	Weather	Weather finance is a yield farming protocol on BSC.	0.1	0.000006		0		9142
161	Genta (GENA)	GENA	"Genta (GENA) is a token with optional uses cases. It can be used for shares, stake, and converting liquid assets. Genta are backed by Tulsa Pro Project."	0.1	0.000006		0		1998897
162	Genta (GENA)	GENA	"Genta (GENA) is a token with optional uses cases. It can be used for shares, stake, and converting liquid assets. Genta are backed by Tulsa Pro Project."	0.1	0.000006		0		1998897
163	Dogestribute (DGSTB)	DGSTB	"Dogestribute is an NFT, gaming, and rewards token. The first game is ready to play on launch with weekly rewards for the top scores."	0.05	0.000003		0		45220
164	Dogestribute (DGSTB)	DGSTB	"Dogestribute is an NFT, gaming, and rewards token. The first game is ready to play on launch with weekly rewards for the top scores."	0.05	0.000003		0		45220
165	Kiwi Token (KIWI)	KIWI	KiwiSwap is a decentralized financial project builts on BSC which features yield farming and staking.	0.03	0.000002		0		12440
166	Hot Cross Token (HOTCROSS)	HOTCROSS	Hot Cross is a multi-chain tool suite. It aims to be a toolbox for EVM networks and expand to non-EVM chains in future.	0.01	0.000001		0		2488608
167	Hot Cross Token (HOTCROSS)	HOTCROSS	Hot Cross is a multi-chain tool suite. It aims to be a toolbox for EVM networks and expand to non-EVM chains in future.	0.01	0.000001		0		2482063
168	cheesemaker.farm (CHS)	CHS	CheeseSwap is a DeFi swap/exchange platform.	0.01	0		0		20160
169	Ramen Token (Ramen)	Ramen	"RamenSwap Finance is a community driven yield farming, DeFi yield aggregator and DEX aggregator on Binance Smart Chain. Users can earn RAMEN by staking it on the pool and farming it by provide the liquidity to earn more delicious RAMEN."	0.01	0		0		143030
170	Monverse (Monstr)	Monstr	"Monverse is a multi-chain combat and strategy game, originally designed and developed on BSC."	0	0		0		14816
171	SiaCashCoin (SCC)	SCC	The SiaCashCoin storage network is decentralized. SiaCashCoin will not require owned storage locations or identifiable nodes.	0	0		0		19112501632
172	PizzaSwap (PIZZA)	PIZZA	Pizza finance is a yield farming project partnered with cheeseswap and keep3rb.network.	0	0		0		0
173	ARRANO (ANDX)	ANDX	"Arrano Network is a Collaborative workspace for the development of fair crypto products like Decentralized Exchange, P2P model, Trader Analytics, Academy, launchpad and others. ANDX is the native DeFi token of the ecosystem that fuels up the operations."	0	0		0		0
174	Axelar Wrapped USDC (axlUSDC)	axlUSDC		0	0		0		0
175	Bitovia (BTV)	BTV	BITOVIA is an ecosystem that opens new horizons for you.	0	0		0		0
176	CAR (CAR)	CAR	The $CAR token can be converted into a Blind Box NFT. Those boxes will contain one of the different Car NFT designs. Three of those Car NFTs will allow the lucky holder to own a real-world exclusive car.	0	0		0		0
177	Cars (CARS)	CARS	An NFT 3D racing game based on BSC.	0	0		0		0
178	Catjam (CATJAM)	CATJAM	Catjam is a community-driven meme coin.	0	0		0		0
179	Chi Gastoken by 1inch (CHI)	CHI	"Chi Gastoken by 1inch.exchange is a more optimized gas token solution then everything existing on the market. Shorter contract address, using create2 and some assembly optimizations provide lower gas costs on minting and burning calls."	0	0		0		0
180	Cream Cardano Token (crADA)	crADA	"C.R.E.A.M. Finance is built on the belief that the financial system of the future should be open and inclusive. Through the permissionless nature of blockchain and automation of smart contracts, they aim to realize this new financial system."	0	0		0		0
181	Curate on BSC (XCUR)	XCUR		0	0		0		0
182	DoYourTip (DYT)	DYT	$DYT is a deflationary ERC20 token with a 2% burn rate. It combines the deflationary feature with off-chain tipping and Enjin collectibles.	0	0		0		0
183	FC Porto Fan Token (PORTO)	PORTO	"FC Porto Fan Token is built on the Binance Smart Chain empowering FC Porto fans with broader accessibility, more functionalities and lower fees."	0	0		0		0
184	Fomotion (FOMO)	FOMO	$FOMO is a token by crypto Youtuber 'Fomotion'. The community asked for a token so here it is.	0	0		0		0
185	fry.KetchupV2 (KHP)	KHP	fry.Ketchup ($KHP) is the official governance token of fry.world Finance.	0	0		0		0
186	HappinessToken (HPS)	HPS		0	0		0		0
187	InnovativeBioresearchCoin (INNBC)	INNBC	"INNBC is a crypto-asset issued by Innovative Bioresearch Ltd, a biotech company performing novel biomedical research in the field of HIV, cancer, and regeneration research, as well as developing decentralized solutions for processing scientific data."	0	0		0		0
188	Kripton Black (LPKB)	LPKB	A full-fledged financial inclusion platform with hybrid crypto-fiat and self-credit scoring aiming to be the future of microfinance and decentralized finance by providing financial tools to underdeveloped countries.	0	0		0		0
189	Kripton Mobile (LPKM)	LPKM	A full-fledged financial inclusion platform with hybrid crypto-fiat and self-credit scoring aiming to be the future of microfinance and decentralized finance by providing financial tools to underdeveloped countries.	0	0		0		0
190	Kripton P (LPKP)	LPKP	A full-fledged financial inclusion platform with hybrid crypto-fiat and self-credit scoring aiming to be the future of microfinance and decentralized finance by providing financial tools to underdeveloped countries.	0	0		0		0
191	Kripton Q (LPKQ)	LPKQ	A full-fledged financial inclusion platform with hybrid crypto-fiat and self-credit scoring aiming to be the future of microfinance and decentralized finance by providing financial tools to underdeveloped countries.	0	0		0		0
192	Kripton T (LPKT)	LPKT	A full-fledged financial inclusion platform with hybrid crypto-fiat and self-credit scoring aiming to be the future of microfinance and decentralized finance by providing financial tools to underdeveloped countries.	0	0		0		0
193	Kripton X (LPKX)	LPKX	A full-fledged financial inclusion platform with hybrid crypto-fiat and self-credit scoring aiming to be the future of microfinance and decentralized finance by providing financial tools to underdeveloped countries.	0	0		0		0
194	Kripton Y (LPKY)	LPKY	A full-fledged financial inclusion platform with hybrid crypto-fiat and self-credit scoring aiming to be the future of microfinance and decentralized finance by providing financial tools to underdeveloped countries.	0	0		0		0
195	Kripton Z (LPKZ)	LPKZ	A full-fledged financial inclusion platform with hybrid crypto-fiat and self-credit scoring aiming to be the future of microfinance and decentralized finance by providing financial tools to underdeveloped countries.	0	0		0		0
196	Lunar (LNR)	LNR	Lunar token contract has migrated to a	0	0		0		0
197	Lunar (LNR)	LNR	Lunar token contract has migrated to a	0	0		0		0
198	LUNCHero (LCH)	LCH	LuncHero is the voice of each and every LunC lover and supporter.	0	0		0		0
199	Milk Protocol (MILK)	MILK	MILK Protocol is an experimental DeFi degens on Binance Smart Chain. Always DYOR before investing in any project.	0	0		0		0
200	Moeda SEEDS (SEEDS)	SEEDS	"Moeda.Finance is the parallel DeFi infrastructure of Moeda, a blockchain powered digital payment and micro lending ecosystem."	0	0		0		0
201	Perlin (PERL)	PERL	PerlinX is democratizing the trading of real-world assets through decentralized liquidity pools and synthetic asset generation.	0	0		0		0
202	Robust Reward (RBW)	RBW	RBT is an experimental BEP20 deflationary token on the Binance Smart Chain.	0	0		0		0
203	Shield Protocol (SHIELD)	SHIELD		0	0		0		0
204	SOOMA (SOA)	SOA	Sooma is a deflation token.	0	0		0		0
205	Standard on xDai on BSC (xMARK)	xMARK	"Benchmark Protocol mitigates liquidation events and hedges risk with the MARK token; a supply elastic, stablecoin-alternative that connects traditional capital markets to DeFi."	0	0		0		0
206	Sun Token (SUN)	SUN		0	0		0		0
207	Super Vote LAUNCH (svLAUNCH)	svLAUNCH		0	0		0		0
208	Switcheo Token (SWTH)	SWTH		0	0		0		0
209	Torum (XTM)	XTM		0	0		0		0
209	Tree Token (TREE)	TREE	Binance Charity Foundation has launched this Australian Bushfire Donation project to help alleviate the impact of this disaster and facilitate the restoration for Australian community.	0	0		0		0
210	Trivian Token (TRIVIA)	TRIVIA	"Trivians is a crypto-powered trivia game app which enables players to win Trivian Token according to their correct answers at different game modes and competitions. It is the new generation trivia game, with a totally unique Battle Royale approach without any geographical and language restrictions."	0	0		0		0
211	TRON (TRX)	TRX		0	0		0		0
212	Tutu Token (TUTU)	TUTU	Payment Facilitator for Foreign Tourists. A global instant payments app for tourists using the local payment system recharged with Bitcoin. Freedom to make payments while traveling with automatic conversion from Crypto (Bitcoin) to local FIAT.	0	0		0		0
213	VIRSACOIN (VIR)	VIR	VIRSA is a new governance token that completes the Social ecosystem by putting control of the protocol in the hands of the community.	0	0		0		0
214	Xpose Protocol (XP)	XP	"A community-driven, social marketing ecosystem powered by blockchain. Xpose establishes a first-of-its-kind decentralized ecosystem that transforms the way brands run marketing campaigns."	0	0		0		0
215	Axelar Wrapped USDC (axlUSDC)	axlUSDC		0	0		0		0
216	Bitovia (BTV)	BTV	BITOVIA is an ecosystem that opens new horizons for you.	0	0		0		0
217	Chi Gastoken by 1inch (CHI)	CHI	"Chi Gastoken by 1inch.exchange is a more optimized gas token solution then everything existing on the market. Shorter contract address, using create2 and some assembly optimizations provide lower gas costs on minting and burning calls."	0	0		0		0
218	FC Porto Fan Token (PORTO)	PORTO	"FC Porto Fan Token is built on the Binance Smart Chain empowering FC Porto fans with broader accessibility, more functionalities and lower fees."	0	0		0		0
219	LUNCHero (LCH)	LCH	LuncHero is the voice of each and every LunC lover and supporter.	0	0		0		0
220	Trivian Token (TRIVIA)	TRIVIA	"Trivians is a crypto-powered trivia game app which enables players to win Trivian Token according to their correct answers at different game modes and competitions. It is the new generation trivia game, with a totally unique Battle Royale approach without any geographical and language restrictions."	0	0		0		0
221	TRON (TRX)	TRX		0	0		0		0
222	NDB (NDB)	NDB	"Blockchain-based NDB Ecosystem that facilitates trading, tracking, and paying (and otherwise managing) energy in new ways among peers and with personal devices, utility providers, and other stakeholders and components. At its center, the NDB Ecosystem is developed, managed, and governed by NDB Hub."	0.01	0.000001	3		13213940000	120
223	NDB (NDB)	NDB	"Blockchain-based NDB Ecosystem that facilitates trading, tracking, and paying (and otherwise managing) energy in new ways among peers and with personal devices, utility providers, and other stakeholders and components. At its center, the NDB Ecosystem is developed, managed, and governed by NDB Hub."	0.01	0.000001	3		13207070000	120
224	GG TOKEN (GGTKN)	GGTKN	Utility Token For Lottery & Gambling Portals. GGTKN is also accepted on various e-commerce projects around the world. Full list available on the official website.	0.1	0.000006	19327		1213365022	21067
225	GG TOKEN (GGTKN)	GGTKN	Utility Token For Lottery & Gambling Portals. GGTKN is also accepted on various e-commerce projects around the world. Full list available on the official website.	0.1	0.000006	19327		1210210933	21067
226	Jointer (JNTR)	JNTR	JNTR is a liquidity bridge that serves as a transfer of value between traditional commercial real estate equity and blockchain based digital currencies.	0.02	0.000001	71461		238936923	5276
227	Jointer (JNTR)	JNTR	JNTR is a liquidity bridge that serves as a transfer of value between traditional commercial real estate equity and blockchain based digital currencies.	0.02	0.000001	72200		236550989	5276
228	Okse (OKSE)	OKSE	"Okse Wallet and Okse Visa Card are a decentralized finance system, built to revolutionize the financial market. Okse Wallet and Card allows only the owner to access and spend their cryptocurrency without counter-party risk in over 60 million shops worldwide."	0.13	0.000008	560351		132767000	4867
229	Okse (OKSE)	OKSE	"Okse Wallet and Okse Visa Card are a decentralized finance system, built to revolutionize the financial market. Okse Wallet and Card allows only the owner to access and spend their cryptocurrency without counter-party risk in over 60 million shops worldwide."	0.13	0.000008	564638		132155000	4868
230	Grove Token (GVR)	GVR	"Grove aims to create wealth, for all Grovers, by harnessing the opportunities of secure, decentralised digital currency in an environmentally conscious way. By compensating nature for years of abuse, Grove will create a healthier, wealthier future for all."	0	0	5042499		78835768	38765
231	Grove Token (GVR)	GVR	"Grove aims to create wealth, for all Grovers, by harnessing the opportunities of secure, decentralised digital currency in an environmentally conscious way. By compensating nature for years of abuse, Grove will create a healthier, wealthier future for all."	0	0	5091555		78835743	38774
232	ArenaPlay (APC)	APC	"ArenaPlay is committed to building on-chain infrastructure covering; gaming, quizzes, E-Sports, NFT, and the wider Meta-Universe."	0.72	0.000042	369683		71756500	112599
233	ArenaPlay (APC)	APC	"ArenaPlay is committed to building on-chain infrastructure covering; gaming, quizzes, E-Sports, NFT, and the wider Meta-Universe."	0.72	0.000042	371118		71603300	112600
234	Pylon Eco Token (PETN)	PETN	"Pylon Eco is a DeFi, governance and deflationary open source ecosystem-based project. It claims to features buyback guarantee of all ICO tokens and aims for daily used in plenty of ecosystems to bring mass crypto adoption. It provides staking reward and is backed by guarantee portfolio."	0.38	0.000022	204157		37014763	9035
235	ETHAX (ETHAX)	ETHAX	"Through ETHAX’s unique ground-breaking machine learning technology, ETHAX simplifies the consumer process to create a trading platform for all investors."	0.04	0.000003	62457		34999112	1606
236	ETHAX (ETHAX)	ETHAX	"Through ETHAX’s unique ground-breaking machine learning technology, ETHAX simplifies the consumer process to create a trading platform for all investors."	0.04	0.000003	62103		34957664	1607
237	Thoreumv3 - Thoreum.Capital (THOREUM)	THOREUM	"More than 1 year with Thoreum V1&V2, it's time for Thoreum V3, strongly prioritizes hyper deflation and passive income, with features:
Limited supply & hyper deflationary token with the aggressive burn of 25% every sell transaction"	0.46	0.000027	2224		22806298	15409
238	Thoreumv3 - Thoreum.Capital (THOREUM)	THOREUM	"More than 1 year with Thoreum V1&V2, it's time for Thoreum V3, strongly prioritizes hyper deflation and passive income, with features:
Limited supply & hyper deflationary token with the aggressive burn of 25% every sell transaction"	0.46	0.000026	2224		22781958	15409
239	Tech Trees Coin (TTC)	TTC	TechTrees is a web 3.0 public welfare organization in response to Elon Musk‘s vision for sustainable development.	0	0	9402		20040636	54001
240	Tech Trees Coin (TTC)	TTC	TechTrees is a web 3.0 public welfare organization in response to Elon Musk‘s vision for sustainable development.	0	0	7129		19863927	54001
241	XEN Crypto (bXEN)	bXEN	"XEN aims to become a community-building crypto asset that connects like
minded people together and provide the lowest barrier to entry through its unique tokenomics."	0	0	1846501		19713379	63778
242	XEN Crypto (bXEN)	bXEN	"XEN aims to become a community-building crypto asset that connects like
minded people together and provide the lowest barrier to entry through its unique tokenomics."	0	0	1895081		19489103	63799
243	Elemon Token (ELMON)	ELMON	"Elemon is a NFTs game based on blockchain technology with the purposes and missions to deliver sustainable values to all users and investors in the Cryptocurrency field. More specifically, Elemon is constructed with a comprehensive ecosystem and hosted on the BSC platform with ERC-721 standard."	0.01	0	7441		12860140	38762
244	Elemon Token (ELMON)	ELMON	"Elemon is a NFTs game based on blockchain technology with the purposes and missions to deliver sustainable values to all users and investors in the Cryptocurrency field. More specifically, Elemon is constructed with a comprehensive ecosystem and hosted on the BSC platform with ERC-721 standard."	0.01	0	7454		12848180	38760
245	EXENO COIN (EXN)	EXN	"Exeno is a company, aiming to deliver tech solutions for a rapidly growing cryptocurrency market. Created by experts interested in developing an ecosystem of innovative digital solutions for cryptocurrency owners. exn is multichain and user can bridge exn on polygon and Ethereum using bridge"	0.25	0.000015	159517		12687729	92
246	EXENO COIN (EXN)	EXN	"Exeno is a company, aiming to deliver tech solutions for a rapidly growing cryptocurrency market. Created by experts interested in developing an ecosystem of innovative digital solutions for cryptocurrency owners. exn is multichain and user can bridge exn on polygon and Ethereum using bridge"	0.25	0.000015	159535		12663946	92
247	EVAI (EV)	EV	"Evai is pioneering an unbiased crypto-asset rating platform, which will be synonymous with academic research, transparent crypto asset appraisal, and cutting-edge AI and machine learning technology, becoming the trusted voice in the industry by investors and peers alike."	0.01	0.000001	1873		11202827	2786
248	EVAI (EV)	EV	"Evai is pioneering an unbiased crypto-asset rating platform, which will be synonymous with academic research, transparent crypto asset appraisal, and cutting-edge AI and machine learning technology, becoming the trusted voice in the industry by investors and peers alike."	0.01	0.000001	1873		11196050	2786
249	Venus DOGE (vDOGE)	vDOGE	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0	0	3		9380078	2055
250	Venus DOGE (vDOGE)	vDOGE	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0	0	3		9377789	2055
251	Titano (TITANO)	TITANO	"Titano is positioned to lead a revolution in DeFi with the Titano Autostaking Protocol or TAP, a new financial protocol that makes staking easier, and gives $TITANO token holders the highest stable returns in crypto."	0	0	17806		8932372	76507
252	Titano (TITANO)	TITANO	"Titano is positioned to lead a revolution in DeFi with the Titano Autostaking Protocol or TAP, a new financial protocol that makes staking easier, and gives $TITANO token holders the highest stable returns in crypto."	0	0	17801		8905888	76504
253	CORE MultiChain Token (CMCX)	CMCX	"CORE is a multi chain PoS network focused on interoperability, scalability and usability. It utilizes AI-enabled Proof of Stake algorithm, multi layered consensus model and voting based governance."	0	0	479337		8502090	13728
254	CORE MultiChain Token (CMCX)	CMCX	"CORE is a multi chain PoS network focused on interoperability, scalability and usability. It utilizes AI-enabled Proof of Stake algorithm, multi layered consensus model and voting based governance."	0	0	482893		8476020	13728
255	ElonGate (ElonGate)	ElonGate	Elongate is a Yield & Liquidity Generation Token that leverages the raw power of memes to donate to charity.	0	0	6042		8000000	481959
256	Recycling Token (CYC)	CYC	CYC is a blockchain-based platform for converting waste and recyclables into real-value CYC tokens. CYC Ecosystem connects people with companies and municipal services and makes it possible to encourage citizens to exercise care with waste utilization	0.01	0	3		7912870	5689
257	ElonGate (ElonGate)	ElonGate	Elongate is a Yield & Liquidity Generation Token that leverages the raw power of memes to donate to charity.	0	0	6269		7900000	481959
258	WANDA EXCHANGE (WE)	WE	WE is the native token of the Wanda Exchange hardware ecosystem and can be used for transactions via Wanda POS and ATMs.	0.01	0	79		7028729	5176
259	Venus XRP (vXRP)	vXRP	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.01	0	36462		6662434	2094
260	Venus XRP (vXRP)	vXRP	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.01	0	36813		6654121	2094
261	LIMOCOIN SWAP (LMCSWAP)	LMCSWAP	"LIMOCOIN SWAP, dynamic and financially free Africa. Limocoin being a utility token, will allow the user to acquire goods and services anywhere in the world without having to walk around with cash."	0	0	5		6602383	103406
262	LIMOCOIN SWAP (LMCSWAP)	LMCSWAP	"LIMOCOIN SWAP, dynamic and financially free Africa. Limocoin being a utility token, will allow the user to acquire goods and services anywhere in the world without having to walk around with cash."	0	0	3		6601111	103403
263	LinkDao (LKD)	LKD	LinkDao is a decentralized multi-chain liquidity enabler network that focuses on high yield on crypto assets.	0.6	0.000035	126094		6031440	1666
264	LinkDao (LKD)	LKD	LinkDao is a decentralized multi-chain liquidity enabler network that focuses on high yield on crypto assets.	0.6	0.000035	125920		6023090	1667
265	OwlDAO token (OWL)	OWL	"OwlDAO aims to build the best casino solution on Ethereum networks. Partnering with leading protocols, the OWL token provides perpetual buyback from casino incomes, plus auto-liquidity and staking rewards."	0.01	0.000001	25		6016415	52457
266	OwlDAO token (OWL)	OWL	"OwlDAO aims to build the best casino solution on Ethereum networks. Partnering with leading protocols, the OWL token provides perpetual buyback from casino incomes, plus auto-liquidity and staking rewards."	0.01	0.000001	24		6005125	52457
267	Venus ADA (vADA)	vADA	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.01	0	20646		5914679	4729
268	Venus ADA (vADA)	vADA	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.01	0	19647		5896027	4729
269	Ultron (ULX)	ULX	"Ultron Foundation is an EVM-compatible layer-1 blockchain system supported by Solidity Finance, with a fully functioning DeFi ecosystem that includes a native coin and dApps."	0.07	0.000004	542827		5828310	5534
270	Ultron (ULX)	ULX	"Ultron Foundation is an EVM-compatible layer-1 blockchain system supported by Solidity Finance, with a fully functioning DeFi ecosystem that includes a native coin and dApps."	0.07	0.000004	549037		5823722	5533
271	EVAI.IO (EVAI)	EVAI	"Evai is a decentralized autonomous organization (DAO) presenting a decentralized rating platform for crypto, DeFi, and NFT-based assets that can be used by anyone to evaluate these new asset classes."	0.01	0.000001	1873		5590323	22038
272	EVAI.IO (EVAI)	EVAI	"Evai is a decentralized autonomous organization (DAO) presenting a decentralized rating platform for crypto, DeFi, and NFT-based assets that can be used by anyone to evaluate these new asset classes."	0.01	0.000001	1873		5586941	22038
273	Space Token (SPACE)	SPACE	"Space Token (SPACE) is the utility token of Final Autoclaim, a crypto earnings site that allows users to earn over 50 different crypto-currencies by completing surveys, doing small tasks, staking coins, or playing games."	0.02	0.000001	11034		5506919	3113
274	Space Token (SPACE)	SPACE	"Space Token (SPACE) is the utility token of Final Autoclaim, a crypto earnings site that allows users to earn over 50 different crypto-currencies by completing surveys, doing small tasks, staking coins, or playing games."	0.02	0.000001	10936		5505331	3113
275	SYL (SYL)	SYL	A project on decentralized identity & data privacy.	0	0	403720		5478871	23820
276	SYL (SYL)	SYL	A project on decentralized identity & data privacy.	0	0	390848		5448428	23820
277	M7V2 (M7V2)	M7V2	"The M7V2 will provide eCommerce, Gamming Platform and Centralized Exchange which aims to provide the profitability for its sustainable growth."	0.23	0.000013	14		4786740	3307
278	M7V2 (M7V2)	M7V2	"The M7V2 will provide eCommerce, Gamming Platform and Centralized Exchange which aims to provide the profitability for its sustainable growth."	0.23	0.000013	11		4786488	3307
279	LoopNetwork (LOOP)	LOOP	A cryptocurrency system that supports smart contracts without the scalability and privacy limitations of earlier systems like Ethereum.	0.02	0.000001	42715		4212040	6796
280	LoopNetwork (LOOP)	LOOP	A cryptocurrency system that supports smart contracts without the scalability and privacy limitations of earlier systems like Ethereum.	0.02	0.000001	42741		4208876	6795
281	GAMMA (GAMMA)	GAMMA	"GAMMA is the utility token for the Planet. Anyone can use GAMMA to unlock discount fees on Green Planet, the first decentralized money market with discount levels. GAMMA can be earned providing liquidity to pools and staking in vaults."	0.04	0.000002	0		3970053	5926
282	GAMMA (GAMMA)	GAMMA	"GAMMA is the utility token for the Planet. Anyone can use GAMMA to unlock discount fees on Green Planet, the first decentralized money market with discount levels. GAMMA can be earned providing liquidity to pools and staking in vaults."	0.04	0.000002	0		3969394	5926
283	Venus XVS (vXVS)	vXVS	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.09	0.000005	57		3781227	10904
284	Venus XVS (vXVS)	vXVS	Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.	0.09	0.000005	57		3767895	10904
285	GoMining Token (GMT)	GMT	GoMining Token (GMT) is a way of investing in the crypto-sphere where each GMT is backed by an SHA–256 computing power mining unit working in the GoMining pool.	0.09	0.000005	589137		3385140	10055
286	GoMining Token (GMT)	GMT	GoMining Token (GMT) is a way of investing in the crypto-sphere where each GMT is backed by an SHA–256 computing power mining unit working in the GoMining pool.	0.09	0.000005	579975		3384119	10054
287	WINk (WIN)	WIN	WINk aims to build on its market position as a leading blockchain gaming platform through the consistent introduction of high-quality decentralized applications (DApps).	0	0	52308		3131572	67735
288	WINk (WIN)	WIN	WINk aims to build on its market position as a leading blockchain gaming platform through the consistent introduction of high-quality decentralized applications (DApps).	0	0	51309		3128715	67736
