tablescraper-selected-row,u-xs-avatar src,text-primary,text-primary href,d-none,u-label,text-nowrap,small,d-block,text-danger,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,tablescraper-selected-row 5,text-success,tablescraper-selected-row 6
118,https://bscscan.com/token/images/venus-veth_32.png,Venus ETH (vETH),https://bscscan.com/token/0xf508fcd89b8bd15579dc79a6827cb4686a3592c8,Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.,,$11.33 ,0.000662 BTC,0.039576 BNB,,--,$0.00 ,"$23,043,781.00 ","$37,769,005.00 ",,"8,200"
119,https://bscscan.com/token/images/ellipsisfinance_32.png,Ellipsis (EPS),https://bscscan.com/token/0xa7f552078dcc247c2684336020c03648500c6d9f,Ellipsis Finance aims to offer secure low-slippage stable swapping.,Cross-Chain,$0.03 ,0.000002 BTC,0.000111 BNB,-4.72%,"$6,470.00 ","$22,251,529.00 ","$23,056,141.00 ","22,983",,
120,https://bscscan.com/token/images/dforce_32.png,Binance-Peg dForce Token (DF),https://bscscan.com/token/0x4a9a2b2b04549c3927dd2c9668a5ef3fca473623,"dForce advocates for building an integrated and interoperable and scalable open finance protocol network, cultivating intra-protocol liquidity and network effects, while remain in full openness to interact and integrated with other protocols.",Binance Peg,$0.05 ,0.000003 BTC,0.000170 BNB,-2.51%,"$2,095,183.00 ","$21,371,635.00 ","$4,871,913.00 ","1,199",,
121,https://bscscan.com/token/images/tranchess_32.png,Chess (CHESS),https://bscscan.com/token/0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6,Tranchess Protocol is a tokenized asset management and derivatives trading protocol. Tranchess aims to provide different risk/return matrix out of a single main fund that tracks a specific underlying asset.,,$0.21 ,0.000012 BTC,0.000737 BNB,,"$3,242,658.00 ","$20,318,277.00 ","$63,316,800.00 ","16,547",1.17%,
122,https://bscscan.com/token/images/ambireAdex_32.png,AdEx Network (ADX),https://bscscan.com/token/0x6bff4fb161347ad7de4a625ae5aa3a1ca7077819,Decentralized Ad Network,,$0.14 ,0.000008 BTC,0.000491 BNB,,"$2,969,478.00 ","$20,048,271.00 ","$1,307,885.00 ","4,895",4.54%,
123,https://bscscan.com/token/images/mantradao_32.png?=v019,Binance-Peg MANTRA DAO Token (OM),https://bscscan.com/token/0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2,"MANTRA DAO is a community-governed DeFi platform focusing on staking, lending, and governance.",Binance Peg,$0.03 ,0.000002 BTC,0.000120 BNB,,"$490,197.00 ","$19,578,132.00 ","$917,489.00 ","2,255",0.69%,
124,https://bscscan.com/token/images/unilendfinancetoken_32.png?v=2,UniLend Finance Token (UFT),https://bscscan.com/token/0x2645d5f59d952ef2317c8e0aaa5a61c392ccd44d,UniLend is a permission-less decentralized protocol that combines spot trading services and money markets with lending and borrowing services through smart contracts.,,$0.30 ,0.000017 BTC,0.001038 BNB,-1.50%,"$2,297,513.00 ","$18,532,786.00 ","$2,972,670.00 ","1,949",,
125,https://bscscan.com/token/images/frontier_32.png?=v1,Frontier Token (FRONT),https://bscscan.com/token/0x928e55dab735aa8260af3cedada18b5f70c72f1b,"Frontier is a chain-agnostic DeFi aggregation layer. Users can participate in protocol tracking and management, staking, best-rate asset swapping, liquidity provision, CDP creation & monitoring, and more.",,$0.20 ,0.000012 BTC,0.000710 BNB,,"$1,940,546.00 ","$18,301,050.00 ","$7,273,754.00 ","12,371",1.39%,
126,https://bscscan.com/token/images/contentos_32.png,Contentos (COS),https://bscscan.com/token/0x96dd399f9c3afda1f194182f71600f1b65946501,"Contentos is a decentralized global content ecosystem invested by Binance Labs, DHVC and various class-leading funds.",Cross-Chain,$0.01 ,0.000000 BTC,0.000018 BNB,,"$11,871,186.00 ","$17,880,607.00 ","$30,793,004.00 ","5,795",4.59%,
127,https://bscscan.com/token/images/mathwallet_32.png,MATH Token (MATH),https://bscscan.com/token/0xf218184af829cf2b0019f8e6f0b2423498a36983,"Math Wallet is a multi-platform (mobile/desktop/hardware) universal crypto wallet that enables storage of all BTC, ETH, BSC,EOS, Near,TRON, ONT, BinanceChain, Cosmos, Polkadot tokens, multi-chain dApp store and operates nodes for POS chain.",,$0.11 ,0.000006 BTC,0.000384 BNB,-2.28%,"$49,551.00 ","$17,450,578.00 ","$21,986,400.00 ","40,562",,
128,https://bscscan.com/token/images/decentralgame_32.png?v=4,decentral.games on xDai from xDai ($DG),https://bscscan.com/token/0x9fdc3ae5c814b79dca2556564047c5e7e5449c19,Decentral Games is a community-owned metaverse casino ecosystem powered by $DG.,,$0.03 ,0.000002 BTC,0.000101 BNB,,"$78,311.00 ","$17,438,709.00 ",$64.00 ,"2,142",1.30%,
129,https://bscscan.com/token/images/torcash_32.png,TOR (TOR),https://bscscan.com/token/0x1d6Cbdc6b29C6afBae65444a1f65bA9252b8CA83,"Hector Network is developing an expansive web3 ecosystem for a visionary future. The foundations of the ecosystem, supported by the HEC utility token and TOR stablecoin, are functionality, accessibility and community. Hector Network is expanding cross-chain and is dedicated to mass adoption.",,$1.00 ,0.000058 BTC,0.003481 BNB,-0.04%,"$282,360.00 ","$17,013,528.00 ","$996,555.00 ",226,,
130,https://bscscan.com/token/images/MDT-14A_32.png,Measurable Data Token (MDT),https://bscscan.com/token/0x668db7aa38eac6b40c9d13dbe61361dc4c4611d1,"Measurable Data Token (MDT) is a decentralized data exchange ecosystem connecting users, data providers, and data buyers and denominates the value of data.",Cross-Chain,$0.02 ,0.000001 BTC,0.000087 BNB,,"$3,023,293.00 ","$16,745,825.00 ","$1,238,309.00 ","4,280",5.57%,
131,https://bscscan.com/token/images/pstakefinance_32.png,pStake Finance (PSTAKE),https://bscscan.com/token/0x4C882ec256823eE773B25b414d36F92ef58a7c0C,"pSTAKE is a liquid staking protocol that unlocks liquidity for your staked assets. With pSTAKE, you can securely stake your Proof-of-Stake (PoS) assets, participate in protocol improvements and security to earn staking rewards, and receive staked underlying representative tokens (stkASSETs).",,$0.07 ,0.000004 BTC,0.000239 BNB,-1.69%,"$302,222.00 ","$15,954,334.00 ","$309,494.00 ","7,381",,
132,https://bscscan.com/token/images/BIDR-0E9_32.png,BIDR BEP20 (BIDR),https://bscscan.com/token/0x9a2f5556e9a637e8fbce886d8e3cf8b316a1d8a2,"Binance IDR, is a stable digital currency anchored to the rupiah (IDR) supported by Binance and Tokocrypto, a regulated digital currency exchange in Indonesia. Issued in proportion to 1BIDR=1IDR.",Cross-Chain,$0.00 ,0.000000 BTC,0.000000 BNB,,"$24,477,857.00 ","$15,867,865.00 ","$48,907,919.00 ","8,165",0.35%,
133,https://bscscan.com/token/images/burgerswap_32.png,Burger Swap (BURGER),https://bscscan.com/token/0xae9269f27437f0fcbc232d39ec814844a51d6b8f,"BurgerSwap, a democratized AMM.",Cross-Chain,$0.74 ,0.000043 BTC,0.002592 BNB,-6.21%,"$15,486,460.00 ","$15,305,626.00 ","$24,681,441.00 ","41,640",,
134,https://bscscan.com/token/images/derace_32.png?v=2,DeRace Token (DERC),https://bscscan.com/token/0x373e768f79c820aa441540d254dca6d045c6d25b,"DeRace is a complete NFT horse racing metaverse where you can participate in horse races, breed NFT horses with unique characteristics, build your own NFT hippodrome, compete others, participate and host tournaments.",,$0.18 ,0.000010 BTC,0.000625 BNB,-2.23%,"$486,231.00 ","$14,413,480.00 ","$1,020,098.00 ","26,684",,
135,https://bscscan.com/token/images/obytepoly_32.png,Imported GBYTE (GBYTE),https://bscscan.com/token/0xeb34de0c4b2955ce0ff1526cdf735c9e6d249d09,"Obyte is a distributed ledger based on directed acyclic graph (DAG). Unlike centralized ledgers and blockchains, access to Obyte ledger is decentralized, disintermediated, free (as in freedom), equal, and open.",,$16.78 ,0.000980 BTC,0.058616 BNB,-3.26%,"$6,929.00 ","$13,924,027.00 ","$13,256.00 ",81,,
136,https://bscscan.com/token/images/fusetokenonbsc_32.png,Fuse Token on BSC (FUSE),https://bscscan.com/token/0x5857c96dae9cf8511b08cb07f85753c472d36ea3,The Fuse Studio allows users to build their own wallet and mint their own custom branded currency for their company/community.,,$0.06 ,0.000004 BTC,0.000224 BNB,-1.28%,"$669,963.00 ","$13,355,169.00 ","$365,142.00 ","6,604",,
137,https://bscscan.com/token/images/everrise2_32.png,EverRise (RISE),https://bscscan.com/token/0xC17c30e98541188614dF99239cABD40280810cA3,"EverRise is a blockchain technology company that offers bridging and security solutions across blockchains through an ecosystem of decentralized applications. The EverRise token is a multi-chain, collateralized cryptocurrency that powers the EverRise dApp ecosystem.",,$0.00 ,0.000000 BTC,0.000001 BNB,-0.77%,"$13,003.00 ","$13,039,108.00 ","$13,053,103.00 ","48,184",,
138,https://bscscan.com/token/images/qanplatform_32.png,QANX Token (QANX),https://bscscan.com/token/0xaaa7a10a8ee237ea61e8ac46c50a8db8bcc1baaa,Quantum-resistant hybrid blockchain platform. Build your software applications like DApps or DeFi and run business processes on blockchain in 5 minutes with QANplatform.,,$0.01 ,0.000000 BTC,0.000020 BNB,-0.09%,$0.00 ,"$12,774,066.00 ","$18,780,498.00 ","19,523",,
139,https://bscscan.com/token/images/autofarm_32.png,AUTOv2 (AUTO),https://bscscan.com/token/0xa184088a740c695e156f91f5cc086a06bb78b827,Autofarm is a yield optimizer platform focused on providing defi users with auto-compounded yields at the empirical optimal interval.,,$236.99 ,0.013840 BTC,0.827872 BNB,-0.40%,"$4,114,293.00 ","$12,561,325.00 ","$19,110,787.00 ","65,526",,
140,https://bscscan.com/token/images/paraswaptoken_32.png,ParaSwap (PSP),https://bscscan.com/token/0xcafe001067cdef266afb7eb5a286dcfd277f3de5,"ParaSwap aggregates decentralized exchanges and other DeFi services in one comprehensive interface to streamline and facilitate users' interactions with decentralized finance on Ethereum and EVM-compatible chains: Polygon, Avalanche, BSC & more to come.",,$0.03 ,0.000002 BTC,0.000105 BNB,-2.85%,"$176,281.00 ","$12,278,427.00 ","$4,058.00 ",272,,
141,https://bscscan.com/token/images/apeswap_32.png?v=2,ApeSwapFinance Banana (BANANA),https://bscscan.com/token/0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,"ApeSwap is a DAO that offers a full suite of tools to explore and engage with decentralized finance opportunities. Using the products within our DeFi Hub, users and partners can tap into this financial innovation in a secure, transparent, and globally accessible way.",Cross-Chain,$0.07 ,0.000004 BTC,0.000233 BNB,,"$60,269.00 ","$11,684,185.00 ","$14,108,881.00 ","78,974",0.79%,
142,https://bscscan.com/token/images/deusfinancepoly_32.png,DEUS (DEUS),https://bscscan.com/token/0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,DEUS is a DeFi protocol that aims to bring any verifiable digital and non-digital asset onto the blockchain. DEUS token works to balance the total DEUS ecosystem by providing liquidity to the treasury.,,$95.55 ,0.005580 BTC,0.333776 BNB,-2.54%,"$262,115.00 ","$11,660,396.00 ","$489,025.00 ",21,,
143,https://bscscan.com/token/images/forceprotocol_32.png?v=5,The Force Token (FOR),https://bscscan.com/token/0x658a109c5900bc6d2357c87549b651670e5b0539,"The Force Protocol proposes three DeFi technical components: fundamental component, extended component, and financial component. It aims to launch ForTube - DeFi lending platform.",Cross-Chain,$0.02 ,0.000001 BTC,0.000058 BNB,,"$2,303,656.00 ","$10,654,297.00 ","$5,081,249.00 ","6,357",1.54%,
144,https://bscscan.com/token/images/mirrorfinance_32.png,Wrapped MIR Token (MIR),https://bscscan.com/token/0x5b6dcf557e2abe2323c48445e8cc948910d8c2c9,"Mirror Protocol allows the creation of fungible assets, “synthetics”, that track the price of real world assets. Mirror synthetics are intended to be used as key building blocks in smart contracts, and to bring the world’s assets to the blockchain.",,$0.13 ,0.000008 BTC,0.000456 BNB,-1.32%,"$4,506,023.00 ","$10,144,653.00 ","$6,046,077.00 ","6,579",,
145,https://bscscan.com/token/images/unicrypt_32.png,UniCrypt on xDai on BSC (UNCX),https://bscscan.com/token/0x09a6c44c3947b69e2b45f4d51b67e6a39acfb506,"UniCrypt is a platform creating services for other tokens. Services such as token locking contracts, yield farming as a service, and other AMMs orientated products.",,$270.31 ,0.015786 BTC,0.944248 BNB,,"$33,089.00 ","$9,776,271.00 ","$926,082.00 ","1,941",5.45%,
146,https://bscscan.com/token/images/ovr_32.png,OVR (OVR),https://bscscan.com/token/0x7e35d0e9180bf3a1fc47b0d110be7a21a10b41fe,The project aims to be the decentralized infrastructure for the spatial web by merging the physical and virtual worlds through Augmented Reality.,,$0.40 ,0.000023 BTC,0.001391 BNB,-0.34%,"$540,279.00 ","$9,732,378.00 ","$704,049.00 ","28,075",,
147,https://bscscan.com/token/images/nominex_32.png,Nominex (NMX),https://bscscan.com/token/0xd32d01a43c869edcd1117c640fbdcfcfd97d9d65,NMX is the utility token of Nominex exchange that allows for utilitarian staking.,,$0.12 ,0.000007 BTC,0.000433 BNB,-0.75%,"$17,711.00 ","$9,581,653.00 ","$9,585,674.00 ","20,556",,
148,https://bscscan.com/token/images/hogefinance_32.png?v=3,hoge.finance (HOGE),https://bscscan.com/token/0xa4fffc757e8c4f24e7b209c033c123d20983ad40,The HOGE token has a 2% tax on each transaction. One trillion tokens were minted for the initial supply. Half of the tokens were immediately burned. Burning the initial supply balanced the starting transactions. It ensured redistribution was proportionally weighted among wallet holders.,,$0.00 ,0.000000 BTC,0.000000 BNB,-2.95%,"$30,483.00 ","$9,411,788.00 ","$343,477.00 ","17,263",,
149,https://bscscan.com/token/images/redfoxlabs_32.png,RFOX (RFOX),https://bscscan.com/token/0x0a3a21356793b49154fd3bbe91cbc2a16c0457f5,"RedFOX Labs is a tech-forward venture builder delivering companies & platforms that are secure, scalable, and innovative, bringing the world into a new era of technology and prosperity.",,$0.01 ,0.000000 BTC,0.000018 BNB,,"$168,458.00 ","$9,201,078.00 ","$2,057,291.00 ","13,512",2.95%,
150,https://bscscan.com/token/images/cakemonster2_32.png,Cake Monster (MONSTA),https://bscscan.com/token/0x8a5d7fcd4c90421d21d30fcc4435948ac3618b2f,MONSTA is a Hyper-Deflationary and Dividend-Yielding asset on BNB Chain that introduces a new form of monetary policy.,,$0.00 ,0.000000 BTC,0.000005 BNB,-1.18%,$914.00 ,"$9,062,181.00 ","$10,375,477.00 ","12,901",,
151,https://bscscan.com/token/images/newscrypto_32.png?=v1,Newscrypto (NWC),https://bscscan.com/token/0x968f6f898a6df937fc1859b323ac2f14643e3fed,"Newscrypto is a project that brings together education, information and trading tools for traders in the crypto markets.",,$0.06 ,0.000003 BTC,0.000204 BNB,,"$2,485,099.00 ","$8,607,517.00 ","$292,695.00 ","6,766",0.07%,
152,https://bscscan.com/token/images/hector_32.png,Hector (HEC),https://bscscan.com/token/0x638EEBe886B0e9e7C6929E69490064a6C94d204d,"Hector Network is developing an expansive web3 ecosystem for a visionary future. The foundations of the ecosystem, supported by the HEC utility token and TOR stablecoin, are functionality, accessibility and community. Hector Network is expanding cross-chain and is dedicated to mass adoption.",,$3.45 ,0.000201 BTC,0.012052 BNB,,"$308,963.00 ","$8,359,808.00 ","$690,000.00 ",486,0.07%,
153,https://bscscan.com/token/images/hacken_32.png,Hacken Token (HAI),https://bscscan.com/token/0xaa9e582e5751d703f85912903bacaddfed26484c,HAI is a cybersecurity coin that unites cybersecurity products and companies developing secure Web 3.0 infrastructure built in partnership with Hacken.,,$0.02 ,0.000001 BTC,0.000054 BNB,,"$351,406.00 ","$7,885,499.00 ","$1,163,384.00 ","2,890",1.41%,
154,https://bscscan.com/token/images/swftcoin_32.png,SwftCoin (SWFTC),https://bscscan.com/token/0xe64e30276c2f826febd3784958d6da7b55dfbad3,"SWFTC provides SWFT Blockchain with the sources of liquidity needed to offer faster cross-chain swaps at the best rates, and with low fees.",,$0.00 ,0.000000 BTC,0.000004 BNB,-0.33%,"$712,592.00 ","$7,298,747.00 ","$224,370.00 ","1,161",,
155,https://bscscan.com/token/images/raven_32.png,Raven Protocol (RAVEN),https://bscscan.com/token/0xcd7c5025753a49f1881b31c48caa7c517bb46308,Raven Protocol is a decentralized and distributed deep-learning training protocol which provides cost-efficient and faster training of deep neural networks by utilizing the compute resources in the network.,Cross-Chain,$0.00 ,0.000000 BTC,0.000006 BNB,,"$143,372.00 ","$7,086,817.00 ","$15,878,200.00 ","3,505",34.20%,
156,https://bscscan.com/token/images/venus-vltc_32.png,Venus LTC (vLTC),https://bscscan.com/token/0x57a5297f2cb2c0aac9d554660acd6d385ab50c6b,Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.,,$1.54 ,0.000090 BTC,0.005395 BNB,-2.34%,"$17,440.00 ","$6,398,092.00 ","$9,020,695.00 ","1,505",,
157,https://bscscan.com/token/images/positionexchange_32.png,Position Token (POSI),https://bscscan.com/token/0x5ca42204cdaa70d5c773946e69de942b85ca6706,"Position Exchange is a decentralized trading platform, powered by a virtual Automated Market Maker (vAMM) and operating on Binance Smart Chain (BSC), aiming to provide on-chain Derivatives trading on Crypto assets with high leverage, low slippage and low fees.",Cross-Chain,$0.11 ,0.000006 BTC,0.000367 BNB,-1.65%,"$684,662.00 ","$6,367,998.00 ","$9,635,879.00 ","702,604",,
158,https://bscscan.com/token/images/venus-vdai_32.png,Venus DAI (vDAI),https://bscscan.com/token/0x334b3ecb4dca3593bccc3c7ebd1a1c1d1780fbf1,Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.,,$0.02 ,0.000001 BTC,0.000075 BNB,,"$392,094.00 ","$5,915,254.00 ","$6,400,421.00 ","1,458",0.02%,
159,https://bscscan.com/token/images/torn_32.png?v=2,Binance-Peg TornadoCash Token (TORN),https://bscscan.com/token/0x1ba8d3c4c219b124d351f603060663bd1bcd9bbf,Tornado Cash is a fully decentralized protocol for private transactions on Ethereum.,Binance Peg,$5.33 ,0.000311 BTC,0.018612 BNB,-1.73%,"$3,345,095.00 ","$5,859,826.00 ","$428,913.00 ","2,760",,
160,https://bscscan.com/token/images/arivadigital_32.png,ARIVA (ARV),https://bscscan.com/token/0x6679eb24f59dfe111864aec72b443d1da666b360,"Ariva (ARV) is a cryptocurrency supported by Ariva Co., produced for active use in global and local tourism and travel networks in the near future.",,$0.00 ,0.000000 BTC,0.000000 BNB,-4.41%,"$1,051,657.00 ","$5,764,152.00 ","$7,953,000.00 ","229,573",,
161,https://bscscan.com/token/images/vrt_32.png?v2,Venus Reward Token (VRT),https://bscscan.com/token/0x5f84ce30dc3cf7909101c69086c50de191895883,Venus Reward Token is a mechanism created to become an additional mining distribution to suppliers and borrowers of Venus Protocol.,,$0.00 ,0.000000 BTC,0.000001 BNB,-2.29%,"$46,366.00 ","$5,587,511.00 ","$7,619,340.00 ","42,486",,
162,https://bscscan.com/token/images/omax_32.png,OMAX TOKEN (OMAX),https://bscscan.com/token/0xeB84be66c8E71f07eA57Cf3b21626d7784F32A7F,We aim to become the future point-of-sale cryptocurrency by integrating our blockchain with popular e-commerce checkout and payment systems.,,$0.00 ,0.000000 BTC,0.000002 BNB,,"$320,680.00 ","$5,556,502.00 ","$5,556,510.00 ","28,878",13.28%,
163,https://bscscan.com/token/images/tokpie_32.png,TOKPIE (TKP),https://bscscan.com/token/0x7849ed1447250d0b896f89b58f3075b127ca29b3,"Tokpie is a cryptocurrency exchange with bounty stakes trading. Tokpie aims to provide TKP holders discount on fees, referral bonus, access to the bounty stakes depositing, regular airdrops, P2P loans and income from TKP token staking (lending).",,$0.06 ,0.000004 BTC,0.000219 BNB,-2.10%,"$11,784.00 ","$4,981,555.00 ","$627,670.00 ",348,,
164,https://bscscan.com/token/images/tetuio_32.png,TETU Reward Token (TETU),https://bscscan.com/token/0x1f681b1c4065057e07b95a1e5e504fb2c85f4625,TETU is a DeFi application built on Polygon that implements automated yield farming strategies in order to provide investors with a safe and secure method of receiving high and stable yield on their investments providing automated yield aggregation and distribution through xTETU,,$0.02 ,0.000001 BTC,0.000065 BNB,,"$7,969.00 ","$4,960,055.00 ",$523.00 ,36,5.42%,
165,https://bscscan.com/token/images/cashaa_32.png,Cashaa (CAS),https://bscscan.com/token/0x780207b8c0fdc32cf60e957415bfa1f2d4d9718c,A crypto banking platform where FIAT and cryptos meet in one place.,Cross-Chain,$0.01 ,0.000000 BTC,0.000022 BNB,-0.47%,"$125,754.00 ","$4,612,582.00 ","$6,354,870.00 ","1,019",,
166,https://bscscan.com/token/images/hotbit_32.png,Hotbit Token (HTB),https://bscscan.com/token/0x4e840aadd28da189b9906674b4afcb77c128d9ea,"Hotbit is a digital asset exchange platforms that provide trading services among major digital currencies like Bitcoin, Litecoin and Ethereum for users from all over the world.",,$0.01 ,0.000000 BTC,0.000020 BNB,-4.30%,"$184,932.00 ","$4,511,725.00 ","$1,181,300.00 ","2,880",,
167,https://bscscan.com/token/images/aqua_32.png,AQUA (AQUA),https://bscscan.com/token/0x72b7d61e8fc8cf971960dd9cfa59b8c829d91991,Planet Finance is an interplanetary financial ecosystem.,,$45.56 ,0.002661 BTC,0.159150 BNB,-1.67%,$86.00 ,"$4,312,248.00 ","$4,556,000.00 ","6,149",,
168,https://bscscan.com/token/images/fry_32.png,fry.world (FRIES),https://bscscan.com/token/0x393b312c01048b3ed2720bf1b090084c09e408a1,Fry.world is a yield aggregator and farming project on BSC. $FRIES holders will share in all rewards and fees accrued on the platform. Fries token holders will also have the option to participate in governance through staking $FRIES to get Ketchup ($KHP) with a 1:100 ratio to start.,Cross-Chain,$138.49 ,0.008088 BTC,0.483774 BNB,-9.83%,"$7,443,902.00 ","$4,293,080.00 ","$5,884,856.00 ","3,516",,
169,https://bscscan.com/token/images/venus-vlink_32.png,Venus LINK (vLINK),https://bscscan.com/token/0x650b940a1033b8a1b1873f78730fcfc73ec11f1f,Venus is an algorithmic money market and synthetic stablecoin decentralized finance protocol.,,$0.14 ,0.000008 BTC,0.000484 BNB,-2.54%,"$89,490.00 ","$4,285,719.00 ","$5,143,222.00 ","2,831",,
170,https://bscscan.com/token/images/liquidstaking_32.png,Liquid Staking BNB (BNBx),https://bscscan.com/token/0x1bdd3Cf7F79cfB8EdbB955f20ad99211551BA275,"Stader For BNB chain is a trusted liquid staking solution for BNB backed by Binance Foundation. Stader lets users earn BNB staking rewards without needing to maintain infrastructure, and enables users to participate in other Defi Strategies while accruing rewards.",,$296.22 ,0.017299 BTC,1.034757 BNB,-0.80%,"$15,938.00 ","$3,806,945.00 ","$3,807,612.00 ","2,082",,
171,https://bscscan.com/token/images/poolzfinance_32.png,$Poolz Finance [via ChainPort.io] (POOLZ),https://bscscan.com/token/0x77018282fd033daf370337a5367e62d8811bc885,"Poolz is a decentralized swapping protocol for cross-chain token pools, auctions, as well as OTC deals. The core code is optimized for DAO ecosystems, enabling startups and project owners to bootstrap liquidity before listing.",,$0.99 ,0.000058 BTC,0.003452 BNB,,"$184,580.00 ","$3,778,097.00 ","$2,669,854.00 ","2,108",1.09%,
172,https://bscscan.com/token/images/cerbyfinance2_32.png,Cerby Token (CERBY),https://bscscan.com/token/0xdef1fac7bf08f173d286bbbdcbeeade695129840,Cerby Token is a Cross-Chain Token Standard aiming to allow users to easily bridge between blockchains and DLT networks.,Cross-Chain,$0.00 ,0.000000 BTC,0.000001 BNB,,--,$0.00 ,"$3,745,024.00 ","$1,136,891.00 ",,870
173,https://bscscan.com/token/images/stablexswap_32.png,StableX Token (STAX),https://bscscan.com/token/0x0da6ed8b13214ff28e9ca979dd37439e8a88f6c4,"StableX.finance is a defi product suite, featuring an AMM and additional products within its ecosystem.",,$0.27 ,0.000016 BTC,0.000957 BNB,,--,$0.00 ,"$3,738,155.00 ","$6,996,206.00 ",,709
174,https://bscscan.com/token/images/beltfinance_32.png,BELT Token (BELT),https://bscscan.com/token/0xe0e514c71282b6f4e823703a39374cf58dc3ea4f,"Belt.fi is an AMM protocol that incorporates multi-strategy yield optimizing on Binance Smart Chain (BSC) with low fees/slippage that also provides aggregation through vault compounding, lending and yield generation for maximum returns.",Cross-Chain,$0.26 ,0.000015 BTC,0.000895 BNB,-2.20%,"$7,149.00 ","$3,555,518.00 ","$5,535,987.00 ","14,347",,
175,https://bscscan.com/token/images/ferrumnetwork_32.png,Ferrum Network Token (FRM),https://bscscan.com/token/0xA719b8aB7EA7AF0DDb4358719a34631bb79d15Dc,"Ferrum Network is a pioneer in ushering in the era of Interoperability 2.0. Powered by the Quantum Portal, Ferrum Network’s Mainnet nodes and related infrastructure will bring value, data, and functional interoperability to every chain in the industry.",,$0.03 ,0.000002 BTC,0.000106 BNB,-1.71%,"$265,003.00 ","$3,506,191.00 ","$3,572,643.00 ","1,467",,
176,https://bscscan.com/token/images/lunardefi_32.png?v=2,Lunar (LNR),https://bscscan.com/token/0xc1A59a17F87ba6651Eb8E8F707db7672647c45bD,"If the future of humankind is multi-planetary, then the future of money is digital. But complexity in crypto is keeping us from that future. LNR is the token that powers the Lunar Ecosystem. Holding LNR empowers you to participate in the Lunar DAO.",,$0.04 ,0.000003 BTC,0.000153 BNB,-9.61%,"$472,200.00 ","$3,496,834.00 ","$4,371,825.00 ","39,474",,
177,https://bscscan.com/token/images/torum_32.png,Torum (XTM),https://bscscan.com/token/0xcd1faff6e578fa5cac469d2418c95671ba1a62fe,Torum is a SocialFi ecosystem (Social + NFT + DeFi + Metaverse) that is specially designed to connect cryptocurrency users.,,$0.02 ,0.000001 BTC,0.000070 BNB,-6.15%,"$588,605.00 ","$3,376,294.00 ","$15,992,242.00 ","12,416",,
178,https://bscscan.com/token/images/aura_32.png,Aura (AURA),https://bscscan.com/token/0x23c5D1164662758b3799103Effe19cC064d897D6,"Aura Network is a layer-1, NFT-centric blockchain built on Cosmos SDK that aims to expand the limits of NFTs currently seen within the cryptocurrency and web3 space, by integrating and adding solutions that help introduce the use of NFTs across additional and existing industries.",,$0.06 ,0.000003 BTC,0.000196 BNB,-0.62%,"$1,546,043.00 ","$3,194,723.00 ","$9,567,538.00 ","3,009",,
179,https://bscscan.com/token/images/zminetoken_32.png,ZMINE Token (ZMN),https://bscscan.com/token/0xfcb8a4b1a0b645e08064e05b98e9cc6f48d2aa57,A token aimed to be made available for purchasing and exchanging for GPUs and mining services.,,$0.00 ,0.000000 BTC,0.000016 BNB,-0.69%,$101.00 ,"$2,767,074.00 ","$528,676.00 ","2,872",,
180,https://bscscan.com/token/images/bogtools_32.png,Bogged Finance (BOG),https://bscscan.com/token/0xb09fe1613fe03e7361319d2a43edc17422f36b09,BOGGED is a utility token with arbitrage feature which allows the user find and execute arbitrage opportunities between AMMs on BSC.,,$0.19 ,0.000011 BTC,0.000676 BNB,-6.82%,"$13,074.00 ","$2,716,300.00 ","$2,904,300.00 ","20,211",,
181,https://bscscan.com/token/images/finnexus_32.png,FinNexus (FNX),https://bscscan.com/token/0xdfd9e2a17596cad6295ecffda42d9b6f63f7b5d5,"FinNexus is a FeFi platform specialized in options and financial derivatives, harnessing the possibilities offered by blockchain to build an array of instruments and services across multiple chains and layers.",,$0.01 ,0.000000 BTC,0.000026 BNB,,"$184,825.00 ","$2,711,791.00 ","$489,797.00 ","1,685",72.24%,
182,https://bscscan.com/token/images/thelovechain_32.png,The LoveChain (LOV),https://bscscan.com/token/0x2e01A3Df69E387E769cC0429f697fD207c02e2f0,"The Love Chain is a social media platform utilizing blockchain technology. It gives users an immutable platform to record, celebrate and share their love of significant others.",,$0.02 ,0.000001 BTC,0.000064 BNB,-2.37%,"$1,896.00 ","$2,476,645.00 ","$2,476,837.00 ",322,,
